SRB,,,,,,,0.9927,0.994,0.9954,0.996,0.996,0.997,0.998,0.997,0.998
SUR,,0.9887,0.9905,0.9904,0.9852,0.9911,0.9973,0.9973,0.9973,0.998,0.997,0.991,0.991,0.993,0.993
SVK,0.9952,0.9952,1,1,1,1,1,1,1,1,1,1,1,1,1
SVN,0.9987,0.9994,0.9979,0.998,0.9977,0.9977,0.9981,0.9999,0.9999,1,1,1,1,1,1
SWE,0.9986,0.9986,0.9987,0.9977,0.9964,0.9957,0.9969,0.9977,0.9974,0.996,0.999,0.999,0.998,0.996,0.996
SWZ,,,,,,,,,0.9967,1,0.997,0.995,,0.992,0.992
SYR,,0.9274,0.9275,0.9315,0.9363,0.9135,0.9306,0.9682,0.967,0.965,0.963,0.956,0.955,0.953,0.953
TCD,0.4678,0.4699,0.4683,0.4743,0.5091,0.5158,0.5197,0.5311,0.5743,0.591,0.618,0.572,0.575,0.589,0.589
TGO,,,,,,,,,,,,,0.771,0.778,0.782
THA,0.9728,0.9728,0.9906,0.9933,0.9855,0.9855,0.9888,0.9888,0.9938,0.994,0.99,0.958,0.991,0.991,0.992
TJK,,0.8689,0.8675,0.875,0.8817,0.8839,0.8869,0.8993,0.905,0.922,0.937,0.941,0.94,0.942,0.942
TLS,,,,,,,0.928,,,,0.941,0.934,0.935,0.946,0.946
TTO,0.9955,0.9959,0.9973,0.9937,0.9947,0.9944,0.9943,0.9944,0.9944,0.995,0.992,,,0.994,0.994
TUN,0.959,0.959,0.9619,0.9606,0.9662,0.9662,,,0.9506,0.953,0.96,0.966,0.966,0.97,0.97
TUR,0.8849,0.8536,0.8901,0.8923,0.9123,0.92,0.9296,0.9431,0.9527,0.957,0.958,0.965,0.968,0.961,0.975
TZA,0.8594,0.8588,0.8698,0.8679,0.8716,0.8779,0.9373,0.8779,0.8746,0.894,0.914,0.91,0.918,0.921,0.921
UGA,0.8589,0.8742,0.889,0.892,0.9218,0.9173,0.9056,0.8425,0.8463,0.93,0.928,0.913,0.913,0.914,0.898
UKR,0.9978,0.9844,0.9985,0.9991,0.9996,0.9997,0.9997,0.9998,0.9998,1,1,1,1,1,1
URY,0.9908,0.9908,0.9995,1,1,0.9982,0.9967,0.9967,0.9968,0.997,0.999,1,1,1,1
USA,0.9816,0.9816,1,1,1,1,1,1,0.998,0.999,1,1,0.998,1,1
UZB,0.9628,0.9629,0.9517,0.9406,,,,,,,,,,,
VEN,0.9859,0.9989,0.9988,0.9988,0.9991,0.999,0.9989,0.9993,0.9885,0.99,0.999,0.997,0.997,0.998,0.998
VNM,,0.8924,0.8943,0.8974,0.9242,0.9257,0.9684,0.9741,0.9719,0.941,0.978,0.972,0.972,0.982,0.982
VUT,,,,,,,,,,,,,,0.947,0.947
YEM,0.5982,0.5654,0.6179,0.6147,0.6567,0.642,0.6838,0.698,0.7068,0.72,0.72,0.737,0.718,0.717,0.717
ZAF,0.9929,0.9908,0.9956,0.9961,0.9962,0.981,0.98,0.9941,0.9869,0.987,0.995,0.993,0.992,0.994,0.994
ZMB,0.8434,0.8481,0.8478,0.865,0.8472,0.8505,0.8551,0.8472,0.8463,0.863,,,,0.938,0.938
ZWE,0.9197,0.9252,0.9344,0.9336,0.9332,0.9355,,,0.9396,0.974,0.973,0.986,0.986,0.977,0.977
Grand Total,0.939536522,0.942905469,0.948767692,0.949615672,0.949676866,0.948712593,0.95186791,0.951542647,0.954547183,0.956931034,0.960020833,0.959090278,0.957074324,0.958392157,0.954134615
